geo_code,age_band,sex,population
1111063000,100+,F,0
1111064000,0-4,M,30
1111064000,0-4,F,36
1111064000,5-9,M,29
1111064000,5-9,F,36
1111064000,10-14,M,77
1111064000,10-14,F,67
1111064000,15-19,M,95
1111064000,15-19,F,101
1111064000,20-24,M,194
1111064000,20-24,F,341
1111064000,25-29,M,444
1111064000,25-29,F,582
1111064000,30-34,M,379
1111064000,30-34,F,385
1111064000,35-39,M,263
1111064000,35-39,F,237
1111064000,40-44,M,196
1111064000,40-44,F,210
1111064000,45-49,M,189
1111064000,45-49,F,200
1111064000,50-54,M,214
1111064000,50-54,F,224
1111064000,55-59,M,254
1111064000,55-59,F,277
1111064000,60-64,M,259
1111064000,60-64,F,252
1111064000,65-69,M,209
1111064000,65-69,F,242
1111064000,70-74,M,171
1111064000,70-74,F,201
1111064000,75-79,M,106
1111064000,75-79,F,162
1111064000,80-84,M,82
1111064000,80-84,F,130
1111064000,85-89,M,54
1111064000,85-89,F,85
1111064000,90-94,M,13
1111064000,90-94,F,42
1111064000,95-99,M,4
1111064000,95-99,F,1
1111064000,100+,M,1
1111064000,100+,F,2
1111065000,0-4,M,106
1111065000,0-4,F,84
1111065000,5-9,M,107
1111065000,5-9,F,127
1111065000,10-14,M,210
1111065000,10-14,F,224
1111065000,15-19,M,368
1111065000,15-19,F,368
1111065000,20-24,M,944
1111065000,20-24,F,1171
1111065000,25-29,M,1119
1111065000,25-29,F,959
1111065000,30-34,M,699
1111065000,30-34,F,590
1111065000,35-39,M,406
1111065000,35-39,F,413
1111065000,40-44,M,403
1111065000,40-44,F,409
1111065000,45-49,M,428
1111065000,45-49,F,523
1111065000,50-54,M,496
1111065000,50-54,F,578
1111065000,55-59,M,589
1111065000,55-59,F,610
1111065000,60-64,M,434
1111065000,60-64,F,485
1111065000,65-69,M,401
1111065000,65-69,F,415
1111065000,70-74,M,269
1111065000,70-74,F,359
1111065000,75-79,M,192
1111065000,75-79,F,325
1111065000,80-84,M,190
1111065000,80-84,F,299
1111065000,85-89,M,113
1111065000,85-89,F,174
1111065000,90-94,M,29
1111065000,90-94,F,82
1111065000,95-99,M,5
1111065000,95-99,F,20
1111065000,100+,M,1
1111065000,100+,F,5
1111067000,0-4,M,30
1111067000,0-4,F,28
1111067000,5-9,M,18
1111067000,5-9,F,20
1111067000,10-14,M,27
1111067000,10-14,F,30
1111067000,15-19,M,39
1111067000,15-19,F,35
1111067000,20-24,M,72
1111067000,20-24,F,84
1111067000,25-29,M,177
1111067000,25-29,F,161
1111067000,30-34,M,197
1111067000,30-34,F,160
1111067000,35-39,M,145
1111067000,35-39,F,121
1111067000,40-44,M,127
1111067000,40-44,F,81
1111067000,45-49,M,117
1111067000,45-49,F,114
1111067000,50-54,M,141
1111067000,50-54,F,130
1111067000,55-59,M,222
1111067000,55-59,F,219
1111067000,60-64,M,282
1111067000,60-64,F,191
1111067000,65-69,M,294
1111067000,65-69,F,238
1111067000,70-74,M,178
1111067000,70-74,F,164
1111067000,75-79,M,102
1111067000,75-79,F,112
1111067000,80-84,M,65
1111067000,80-84,F,88
1111067000,85-89,M,41
1111067000,85-89,F,66
1111067000,90-94,M,8
1111067000,90-94,F,21
1111067000,95-99,M,0
1111067000,95-99,F,5
1111067000,100+,M,0
1111067000,100+,F,0
1111068000,0-4,M,29
1111068000,0-4,F,30
1111068000,5-9,M,44
1111068000,5-9,F,31
1111068000,10-14,M,47
1111068000,10-14,F,48
1111068000,15-19,M,87
1111068000,15-19,F,84
1111068000,20-24,M,129
1111068000,20-24,F,123
1111068000,25-29,M,248
1111068000,25-29,F,223
1111068000,30-34,M,273
1111068000,30-34,F,219
1111068000,35-39,M,229
1111068000,35-39,F,139
1111068000,40-44,M,201
1111068000,40-44,F,152
1111068000,45-49,M,199
1111068000,45-49,F,170
1111068000,50-54,M,295
1111068000,50-54,F,291
1111068000,55-59,M,437
1111068000,55-59,F,397
1111068000,60-64,M,451
1111068000,60-64,F,398
1111068000,65-69,M,382
1111068000,65-69,F,349
1111068000,70-74,M,255
1111068000,70-74,F,290
1111068000,75-79,M,157
1111068000,75-79,F,191
1111068000,80-84,M,78
1111068000,80-84,F,171
1111068000,85-89,M,57
1111068000,85-89,F,89
1111068000,90-94,M,15
1111068000,90-94,F,39
1111068000,95-99,M,5
1111068000,95-99,F,8
1111068000,100+,M,0
1111068000,100+,F,1
1111069000,0-4,M,60
1111069000,0-4,F,65
1111069000,5-9,M,65
1111069000,5-9,F,54
1111069000,10-14,M,69
1111069000,10-14,F,69
1111069000,15-19,M,97
1111069000,15-19,F,111
1111069000,20-24,M,125
1111069000,20-24,F,145
1111069000,25-29,M,204
1111069000,25-29,F,182
1111069000,30-34,M,303
1111069000,30-34,F,262
1111069000,35-39,M,204
1111069000,35-39,F,209
1111069000,40-44,M,205
1111069000,40-44,F,171
1111069000,45-49,M,155
1111069000,45-49,F,189
1111069000,50-54,M,214
1111069000,50-54,F,243
1111069000,55-59,M,282
1111069000,55-59,F,295
1111069000,60-64,M,271
1111069000,60-64,F,286
1111069000,65-69,M,270
1111069000,65-69,F,278
1111069000,70-74,M,184
1111069000,70-74,F,194
1111069000,75-79,M,99
1111069000,75-79,F,133
1111069000,80-84,M,82
1111069000,80-84,F,116
1111069000,85-89,M,30
1111069000,85-89,F,76
1111069000,90-94,M,14
1111069000,90-94,F,23
1111069000,95-99,M,5
1111069000,95-99,F,10
1111069000,100+,M,0
1111069000,100+,F,1
1111070000,0-4,M,40
1111070000,0-4,F,38
1111070000,5-9,M,47
1111070000,5-9,F,37
1111070000,10-14,M,75
1111070000,10-14,F,75
1111070000,15-19,M,79
1111070000,15-19,F,71
1111070000,20-24,M,110
1111070000,20-24,F,131
1111070000,25-29,M,201
1111070000,25-29,F,208
1111070000,30-34,M,229
1111070000,30-34,F,213
1111070000,35-39,M,198
1111070000,35-39,F,178
1111070000,40-44,M,188
1111070000,40-44,F,186
1111070000,45-49,M,192
1111070000,45-49,F,179
1111070000,50-54,M,238
1111070000,50-54,F,221
1111070000,55-59,M,269
1111070000,55-59,F,276
1111070000,60-64,M,282
1111070000,60-64,F,264
1111070000,65-69,M,214
1111070000,65-69,F,262
1111070000,70-74,M,177
1111070000,70-74,F,191
1111070000,75-79,M,115
1111070000,75-79,F,143
1111070000,80-84,M,66
1111070000,80-84,F,110
1111070000,85-89,M,39
1111070000,85-89,F,69
1111070000,90-94,M,10
1111070000,90-94,F,25
1111070000,95-99,M,1
1111070000,95-99,F,13
1111070000,100+,M,0
1111070000,100+,F,1
1111071000,0-4,M,68
1111071000,0-4,F,57
1111071000,5-9,M,47
1111071000,5-9,F,37
1111071000,10-14,M,64
1111071000,10-14,F,56
1111071000,15-19,M,72
1111071000,15-19,F,97
1111071000,20-24,M,221
1111071000,20-24,F,433
1111071000,25-29,M,637
1111071000,25-29,F,963
1111071000,30-34,M,694
